"Error while creating image","Erreur lors de la création de l'image"
"Image not exists or invalid","L'image n'existe pas ou elle n'est pas valide"
"This content requires last version of Adobe Flash Player. <a href=""%s"">Get Flash</a>","Ce contenu nécessite la dernière version d\'Adobe Flash Player. <a href=""%s"">Télécharger Flash</a>"
